# 1.Distance 2.PDI 1.0 3.PDI 1.2 4.PDI 1.4 5.Gen=0 6.Gen=2 7.Gen=4 8.Gen=5 
-8.881784197001252323e-16 5.360298804020459038e-05 9.765063525032791070e-02 5.249143825397983854e-01 5.169258909049487738e-04 7.357282512819855735e-03 3.941385261892734002e-04 -5.104126789828440126e-03
2.343749999999991118e-01 1.118268251109793502e-03 9.161995649087328886e-02 5.003230147979099707e-01 6.195977576072469540e-04 1.010071931605565666e-02 3.938034996555447517e-03 -6.937473214601589310e-04
4.687499999999991118e-01 5.878211923521500099e-03 8.542628563967494260e-02 4.384366019830546191e-01 1.081888445635145139e-03 2.066789143851295238e-02 1.686971517163132067e-02 1.189187243495378561e-03
7.031249999999991118e-01 4.864185479975624560e-02 9.165305196308692892e-02 3.679490381716127301e-01 2.278835874281199842e-03 5.217042260077513899e-02 9.273976411903683825e-02 6.576408620101249769e-02
9.374999999999991118e-01 2.853917754754378699e-01 2.051228889899656682e-01 3.523758186684486926e-01 5.683667730538674578e-03 1.379519806941867655e-01 4.316402355724120454e-01 4.971190563296533638e-01
1.171874999999999112e+00 1.509595335832449647e+00 7.845279252653833968e-01 5.725416751155556483e-01 1.527242834578564426e-02 3.650047006271266992e-01 1.686192879925900279e+00 2.896937725754748616e+00
1.406249999999999112e+00 5.158898927523313915e+00 2.992314517500947790e+00 1.713325405853896699e+00 4.247043949255212975e-02 8.008573255101912869e-01 4.316552658578684643e+00 9.028605565718143211e+00
1.640624999999999112e+00 9.545465350820627748e+00 7.243088446480068221e+00 4.887149574943887131e+00 1.007915368352812202e-01 1.212480685947672443e+00 6.589159492944327567e+00 1.462962534584164587e+01
1.874999999999999112e+00 1.097368226348703146e+01 1.013293148293219481e+01 8.621308310916756312e+00 1.675708572307098021e-01 1.370142170374059498e+00 6.946032718346772050e+00 1.516631802495048476e+01
2.109374999999999112e+00 9.068836521704975340e+00 9.666095164499047598e+00 9.750924526580321938e+00 2.118293265408144888e-01 1.261206324340128360e+00 5.557294044184213355e+00 1.142425060088193511e+01
2.343749999999999112e+00 5.798583371405287679e+00 6.976206565920726632e+00 8.030323527630311986e+00 2.272954545082672972e-01 9.800350342442483154e-01 3.528707411861530474e+00 6.654410737149213162e+00
2.578124999999999112e+00 3.019841161848818789e+00 4.022973916336955114e+00 5.177930776054401996e+00 2.175062080335743164e-01 6.574391983591685307e-01 1.857946843346059529e+00 3.173307349615483108e+00
2.812499999999999112e+00 1.364712066306638771e+00 1.955580637405033517e+00 2.743564557013552285e+00 1.896507163559248699e-01 3.897452275770598162e-01 8.569828027357293543e-01 1.338314431797228865e+00
3.046874999999999112e+00 5.749458105491198623e-01 8.502903439386716444e-01 1.260736804864810434e+00 1.526864157100364661e-01 2.096289760257601387e-01 3.720209694096381914e-01 5.527558415779354473e-01
3.281249999999999112e+00 2.482068064746299763e-01 3.564851834475556425e-01 5.328164342256245245e-01 1.146516202407115437e-01 1.055697617055361276e-01 1.667570086445322175e-01 2.525360104484972168e-01
