 # 1.Target node 2.Generation 3.Max point 4.Mean distance
         152           8   2.3437500000000009        2.6957867143672645     
         149           3   2.3437500000000009        2.5723129265628142     
         136           7   2.3437500000000009        2.6626648096761376     
         158           6   2.3437500000000009        2.6659629818735429     
         169           4   2.3437500000000009        2.6356218895012220     
         166           5   2.3437500000000009        2.6043234617825699     
         150           5   2.3437500000000009        2.6102487713169609     
         147           6   2.3437500000000009        2.6213713608998912     
         167           6   2.3437500000000009        2.6278580548113117     
         130           9   2.3437500000000009        2.6808133387475062     
         151           8   2.3437500000000009        2.6765230471402019     
         164           8   2.3437500000000009        2.6821447328185997     
         157          10   2.3437500000000009        2.6877228011506213     
         171          10   2.3437500000000009        2.7106637909279532     
         118           7   2.3437500000000009        2.6598361699701480     
         165           7   2.3437500000000009        2.6827405257288941     
         153           5   2.3437500000000009        2.6576285749751207     
         159           5   2.3437500000000009        2.6639089536595630     
         168           6   2.3437500000000009        2.6357346467431846     
         170           6   2.3437500000000009        2.6232793380869968     
         143           4   2.3437500000000009        2.6204461091783489     
