# # 1. Index 2. Generation
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 0
9 0
10 0
11 0
12 0
13 0
14 0
15 0
16 0
17 0
18 0
19 0
20 0
21 0
22 0
23 0
24 0
25 0
26 0
27 0
28 0
29 0
30 0
31 0
32 0
33 0
34 0
35 0
36 0
37 0
38 0
39 0
40 0
41 0
42 0
43 0
44 0
45 0
46 0
47 0
48 0
49 0
50 0
51 0
52 0
53 0
54 0
55 0
56 0
57 0
58 0
59 0
60 0
61 0
62 0
63 0
64 0
65 0
66 0
67 0
68 0
69 0
70 0
71 0
72 0
73 0
74 0
75 0
76 0
77 0
78 0
79 0
80 0
81 0
82 0
83 0
84 1
85 2
86 2
87 3
88 4
89 4
90 4
91 5
92 3
93 2
94 5
95 2
96 6
97 4
98 4
99 5
100 3
101 5
102 5
103 6
104 6
105 3
106 4
107 4
108 6
109 4
110 7
111 6
112 6
113 6
114 6
115 6
116 7
117 7
118 8
119 7
120 6
121 7
122 4
123 7
124 6
125 5
126 8
127 4
128 3
129 3
130 7
131 6
132 3
133 6
